q	L50	L100	L250	L500
0.30	0.02392	0.01072	0.01268	0.01548
0.50	0.02733	0.01404	0.02487	0.02466
0.70	0.02888	0.02654	0.03160	0.02464
0.90	0.03196	0.03178	0.02499	0.03172
1.10	0.03352	0.03452	0.02795	0.03210
1.30	0.03977	0.03800	0.03065	0.02803
1.50	0.04467	0.03664	0.04079	0.03273
1.70	0.04984	0.04310	0.04639	0.03401
1.90	0.05746	0.04607	0.04768	0.04382
2.10	0.06371	0.05106	0.04853	0.05469
2.30	0.07436	0.06421	0.05056	0.05333
2.50	0.08417	0.07246	0.05919	0.06258
2.70	0.09642	0.08422	0.07798	0.08137
2.90	0.11144	0.09804	0.10063	0.07570
3.10	0.12855	0.11540	0.10746	0.10535
3.30	0.14548	0.12967	0.11667	0.11845
3.50	0.16455	0.15136	0.12610	0.12079
3.70	0.19258	0.17107	0.14651	0.14729
3.90	0.21156	0.19028	0.17095	0.17656
4.10	0.24289	0.22701	0.20313	0.19649
4.30	0.27404	0.25830	0.23615	0.22039
4.50	0.29253	0.30827	0.28197	0.26385
4.70	0.28879	0.33556	0.33215	0.31486
4.90	0.26831	0.37120	0.40369	0.39107
5.10	0.23636	0.31953	0.46932	0.50359
5.30	0.19135	0.25486	0.35704	0.46761
5.50	0.16565	0.18884	0.20667	0.20599
5.70	0.12698	0.14013	0.12884	0.11663
5.90	0.12022	0.11362	0.08497	0.05568
6.10	0.08577	0.06626	0.06079	0.07002
6.30	0.08054	0.07888	0.07151	0.06351
6.50	0.06399	0.06600	0.03331	0.02291
6.70	0.06007	0.04236	0.05208	0.05334
6.90	0.04973	0.04325	0.03822	0.04701
7.10	0.06318	0.05476	0.05345	0.03612
7.30	0.03418	0.03566	0.03220	0.01595
7.50	0.02075	0.02075	0.01918	0.01788
7.70	0.03807	0.02460	0.02651	0.04834
7.90	0.05255	0.04204	0.03455	0.02669
8.10	0.03195	0.00226	0.01611	0.04612
8.30	0.03042	0.05126	0.03395	-0.02012
8.50	0.00058	-0.00521	0.00824	0.03746
8.70	0.05057	0.02080	0.01143	0.02709
8.90	0.00284	0.03335	-0.00055	0.00049
9.10	0.01056	0.02999	0.05827	0.03579
9.30	0.05059	0.00957	-0.00372	0.00741
9.50	0.00120	0.01351	0.01756	0.03433
9.70	-0.00585	-0.01331	0.01256	-0.01264
9.90	0.01984	0.01903	0.01142	0.01264

