q	L50	L100	L250	L500
0.30	0.07	0.05	0.05	0.05472
0.50	0.09	0.07	0.07	0.06708
0.70	0.12	0.10	0.10	0.08260
0.90	0.18	0.15	0.14	0.13573
1.10	0.29101	0.23764	0.20128	0.19567
1.30	0.46296	0.38198	0.31708	0.33121
1.50	0.65807	0.63317	0.54394	0.52229
1.70	0.68122	0.90989	0.98206	0.95356
1.90	0.51587	0.65550	0.96396	1.19238
2.10	0.31746	0.34051	0.28426	0.25134
2.30	0.23148	0.20016	0.16459	0.15415
2.50	0.12897	0.13716	0.11642	0.11221
2.70	0.13889	0.10845	0.10270	0.10682
2.90	0.09590	0.07895	0.07475	0.08356
3.10	0.09259	0.06699	0.07787	0.06782
3.30	0.06944	0.08134	0.05191	0.07588
3.50	0.05291	0.05981	0.05228	0.04130
3.70	0.06283	0.05343	0.04679	0.05284
3.90	0.05622	0.04226	0.05253	0.05067
4.10	0.03968	0.03589	0.03170	-0.00319
4.30	0.04630	0.02073	0.02296	0.06453
4.50	0.02315	0.03668	0.03294	0.03783
4.70	0.02646	0.02313	0.03756	0.01475
4.90	0.02315	0.03987	0.01610	0.04767
5.10	0.02646	0.01356	0.04180	0.00287
5.30	0.02315	0.03110	0.01772	0.03885
5.50	0.05622	0.03987	0.00362	0.02591
5.70	-0.02646	-0.00399	0.04367	-0.02712
5.90	0.01323	0.01675	0.01198	0.02804
6.10	0.03307	0.02233	0.00749	0.00131
6.30	0.02646	0.02951	0.00936	0.02033
6.50	0.00661	-0.03030	0.00774	0.00838
6.70	0.02315	0.00159	0.00586	-0.00430
6.90	-0.02976	0.02871	-0.01073	0.03754
7.10	0.05291	0.02632	0.00349	0.03528
7.30	-0.01323	0.02472	0.06975	-0.01192
7.50	0.03307	0.01994	-0.01872	0.02820
7.70	-0.00661	0.01037	-0.00824	0.00064
7.90	0.00992	0.01356	0.01061	-0.00692
8.10	0.01653	-0.01834	0.01273	0.05073
8.30	0.01984	-0.02313	0.03282	-0.00717
8.50	-0.01653	-0.00239	-0.01859	0.00150
8.70	-0.00331	0.04705	0.03170	0.04761
8.90	0.00331	0.01037	0.01460	-0.04216
9.10	-0.01323	-0.01914	-0.01872	0.00765
9.30	0.04960	0.01595	0.00811	-0.00628
9.50	0.00661	0.01116	-0.00686	0.02534
9.70	0.00992	0.01037	0.02508	-0.04595
9.90	0.00661	-0.01276	0.01111	0.03732

