q	L50	L100	L250	L500
0.2	0.00	0.002	0.001	0.001
0.4	0.01	0.004	0.004	0.004
0.6	0.01	0.007	0.009	0.009
0.8	0.02	0.012	0.015	0.014
1.0	0.02	0.019	0.020	0.021
1.2	0.03	0.026	0.026	0.027
1.4	0.04	0.033	0.032	0.033
1.6	0.05	0.040	0.040	0.039
1.8	0.06	0.049	0.049	0.046
2.0	0.07	0.058	0.059	0.055
2.2	0.08	0.069	0.068	0.066
2.4	0.10	0.081	0.079	0.076
2.6	0.11	0.096	0.090	0.089
2.8	0.13	0.113	0.106	0.105
3.0	0.15	0.132	0.126	0.120
3.2	0.18	0.155	0.148	0.141
3.4	0.21	0.181	0.171	0.165
3.6	0.24	0.211	0.196	0.189
3.8	0.28	0.246	0.225	0.219
4.0	0.32	0.284	0.260	0.254
4.2	0.37	0.329	0.300	0.293
4.4	0.42	0.381	0.348	0.337
4.6	0.48	0.442	0.404	0.390
4.8	0.54	0.510	0.470	0.453
5.0	0.59	0.584	0.551	0.531
5.2	0.64	0.648	0.645	0.632
5.4	0.68	0.699	0.716	0.726
5.6	0.71	0.736	0.757	0.767
5.8	0.73	0.765	0.783	0.790
6.0	0.76	0.787	0.800	0.801
6.2	0.78	0.801	0.812	0.815
6.4	0.79	0.816	0.827	0.828
6.6	0.80	0.830	0.833	0.832
6.8	0.82	0.838	0.844	0.843
7.0	0.83	0.847	0.852	0.853
7.2	0.84	0.858	0.862	0.860
7.4	0.84	0.865	0.869	0.863
7.6	0.85	0.869	0.873	0.867
7.8	0.86	0.874	0.878	0.876
8.0	0.87	0.882	0.885	0.882
8.2	0.87	0.883	0.888	0.891
8.4	0.88	0.893	0.895	0.887
8.6	0.88	0.892	0.896	0.894
8.8	0.89	0.896	0.899	0.900
9.0	0.89	0.903	0.899	0.900
9.2	0.89	0.909	0.910	0.907
9.4	0.90	0.911	0.909	0.908
9.6	0.90	0.913	0.913	0.915
9.8	0.90	0.911	0.915	0.913
10.0	0.91	0.914	0.918	0.915
