q	L50	L100	L250	L500
0.2	0.009	0.006	0.007	0.007
0.4	0.022	0.017	0.016	0.018
0.6	0.040	0.031	0.029	0.032
0.8	0.063	0.051	0.049	0.048
1.0	0.099	0.082	0.077	0.075
1.2	0.157	0.130	0.117	0.115
1.4	0.250	0.206	0.181	0.181
1.6	0.382	0.333	0.290	0.285
1.8	0.518	0.515	0.486	0.476
2.0	0.621	0.646	0.679	0.714
2.2	0.685	0.714	0.736	0.765
2.4	0.731	0.754	0.768	0.796
2.6	0.757	0.781	0.792	0.818
2.8	0.784	0.803	0.812	0.839
3.0	0.804	0.819	0.827	0.856
3.2	0.822	0.832	0.843	0.870
3.4	0.836	0.849	0.853	0.885
3.6	0.847	0.861	0.864	0.893
3.8	0.859	0.871	0.873	0.904
4.0	0.870	0.880	0.884	0.914
4.2	0.878	0.887	0.890	0.913
4.4	0.888	0.891	0.894	0.926
4.6	0.892	0.898	0.901	0.934
4.8	0.897	0.903	0.909	0.937
5.0	0.902	0.911	0.912	0.946
5.2	0.907	0.914	0.920	0.947
5.4	0.912	0.920	0.924	0.954
5.6	0.923	0.928	0.924	0.960
5.8	0.918	0.927	0.933	0.954
6.0	0.921	0.930	0.936	0.960
6.2	0.927	0.935	0.937	0.960
6.4	0.933	0.941	0.939	0.964
6.6	0.934	0.935	0.940	0.966
6.8	0.938	0.935	0.942	0.965
7.0	0.933	0.941	0.940	0.972
7.2	0.943	0.946	0.940	0.979
7.4	0.940	0.951	0.954	0.977
7.6	0.947	0.955	0.950	0.983
7.8	0.946	0.957	0.949	0.983
8.0	0.948	0.960	0.951	0.981
8.2	0.951	0.956	0.953	0.992
8.4	0.955	0.952	0.960	0.990
8.6	0.952	0.951	0.956	0.990
8.8	0.951	0.960	0.963	1.000
9.0	0.952	0.963	0.966	0.992
9.2	0.949	0.959	0.962	0.993
9.4	0.959	0.962	0.963	0.992
9.6	0.960	0.964	0.962	0.997
9.8	0.962	0.966	0.967	0.988
10.0	0.964	0.964	0.969	0.995
